"titreok_1","TITRE1","Ville","villeOk","Fin_type","Annee","titreok_2","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom(fusion_nouveau_nom)","date_change","appartenance_affiliation_edition","date_groupe","trou","nonenonenonenonenonenone","source_erreur"
"La liberté de Charentes","LIBERTE DE CHARENTES (LA)","Angouleme","Angouleme","cesse","1947","none","none","1944","Département","16","none","none","none","","none","none","archives_16_http://presselocaleancienne.bnf.fr/ark:/12148/cb412455560"
"La liberté du Centre","LIBERTE DU CENTRE (LA)","Limoges","Limoges","cesse","1950","none","none","1860","Départemental","19,23,87","false,false,Le Courrier du Centre","1944","none","","none","none","http://data.bnf.fr/32806822/la_liberte_du_centre__limoges__1944_/"
"La Marseillaise","MARSEILLAISE (LA)","Lyon","Lyon","cesse","1947","none","none","1880","Départemental","69","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32811861w"
"La Marseillaise du Berry","MARSEILLAISE DU BERRY (LA)","Chateauroux","Chateauroux","cesse","1951","none","none","1944","Départemental","36","true,true,L'écho - la marseillaise","1951","none","","noe","nonenonenonenone","archives_36_http://www.l-echo.info/lieu/2949/indre"
"Le Messin","MESSIN (LE)","Metz","Metz","cesse","1947","none","none","1884","Départemental","57","none","none","none","","none","none","archives_57_http://presselocaleancienne.bnf.fr/ark:/12148/cb32815346k"
"La Montagne Noire","MONTAGNE NOIRE (LA)","Mazamet","Mazamet","quadrihebdo_89","2016","none","none","1944","Département ","81","false,true,"La Montagne Noire - La voix libre"","1989","none","","none","nonenonenonenone","archives_ départemantales"
"La Nation","NATION (LA)","Clermont-Ferrand","Clermont_Ferrand","cesse","1947","none","none","none","none","none","none","none","none","","none","nonenonenonenone","none63"
"Nord soir","NORD SOIR","Lille","Lille","cesse","1947","none","None","1921","Départemental","59","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328079753"
"Nouveau journal","NOUVEAU JOURNAL","Strasbourg","Strasbourg","cesse","none","none","none","none","none","47","none","none","none","","none","nonenonenonenone","none47"
"La Nouvelle République de Bordeaux et du Sud-Ouest","NOUVELLE REPUBLIQUE DE BORDEAUX ET DU SUD OUEST (LA)","Bordeaux","Bordeaux","cesse","1903","none","none","1900","Départemental","33","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328530881"
"Le Patriote","PATRIOTE (LE)","Bastia","Bastia","cesse","1949","none","none","1939","Départemental","2A,2B","none","none","none","","none","none","archives_2b_http://presselocaleancienne.bnf.fr/ark:/12148/cb32833941f"
"La Patriote des Pyrénées","PATRIOTE DES PYRÉNÉES","Pau","Pau","cesse","1944","La Patriote des Pyrénées","PATRIOTE DES PYRéNéES","1896","Départemental","64","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32834057k"
