"Ville","pop","cX","cY"
"2260310","288.5","3.0054952186","50.762635563"
"2259722","41","3.0938340762","50.7625553548"
"2259348","25","3.1536646895","50.7625205298"
"2260309","276.5","3.0026715343","50.7624639417"
"2259526","57","3.1223364095","50.7624576542"
"2259721","64","3.0910101834","50.7623858899"
"2259347","10","3.1508405771","50.7623525683"
"2260308","105","2.9998487886","50.7622922511"
"2259525","8","3.1195124216","50.7622888983"
"2259720","13","3.0881862675","50.7622163828"
"2259346","25","3.148016526","50.7621845203"
"2259918","42","3.0568578277","50.7621356613"
"2259345","9","3.1451925051","50.7620163869"
"2259917","7","3.0512102513","50.7617948885"
"2259524","3","3.1110405263","50.7617822384"
"2259719","7","3.0797146515","50.7617073854"
"2260123","23","3.0198819657","50.7617041333"
"2259344","4","3.1395444102","50.7616799151"
"2259916","31","3.0483865344","50.7616243834"
"2259523","5","3.108216603","50.7616132011"
"2259189","29","3.1680479814","50.7615705649"
"2259718","4","3.0768908284","50.7615375851"
"2260122","70","3.0170583225","50.7615328321"
"2259343","7","3.1367204042","50.7615116107"
"2259915","8","3.0455627945","50.761453836"
"2259522","6","3.1053926989","50.7614440993"
"2259188","5","3.1652238956","50.7614029257"
"2260121","120.5","3.0142346615","50.7613615188"
"2260120","190","3.01141102","50.7611901412"
"2259717","4","3.0684194215","50.761027787"
"2260119","202","3.008587468","50.7610186539"
"2259521","8","3.0969232498","50.7609360431"
"2259716","5","3.0655956733","50.7608577094"
"2260118","287","3.0057639354","50.7608471023"
"2259914","1","3.0342680692","50.7607708908"
"2259187","18","3.1539277308","50.7607317227"
"2260117","288","3.0029403515","50.7606754867"
"2259342","36","3.1226006611","50.7606688777"
"2259520","2","3.0912756134","50.7605972153"
"2259186","8","3.1511037162","50.7605637137"
"2259715","2","3.0599482811","50.760517367"
"2260116","150","3.0001177061","50.7605038018"
"2259341","7","3.1197767393","50.7605001454"
"2259185","21","3.1482797721","50.7603956649"
"2259714","2","3.0571245908","50.7603470963"
"2260115","27","2.9972951132","50.7603320596"
"2259913","9","3.0257972381","50.7602579331"
"2259184","10","3.1454558359","50.7602275727"
"2259340","3","3.1141290098","50.7601624277"
"2259912","4","3.0229736571","50.7600868111"
"2259713","4","3.0514772199","50.7600063201"
